السنة ,Unnamed: 1,القيروان,السبيخة,الوسلاتية,الشبيكة,حفوز,العلا,الحاجب,نصرالله,بوحجلة,الشراردة,العلم,منزل المهيري,عين جلولة,المعدل الشهري 2019/2020,المعدل الشهري العام,الفارق (مم),_source_dataset,Annee,Délégation,Pluviometrie_campagne_mm,Moyenne_annuelle_pluviometrie,Difference_à_la_moyenne,Nbre_jour_precipitation,Delegation,Station,Moy_annuelle_mm,Periode_observation,Nbre_annee,Mois,Moyenne_mensuel_mm,Valeur_mensuel_mm,Temperature_moy_ pendant_periode_plus_froide,Temperature_moy_ pendant_periode_plus_chaude,Difference
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Siliana Sud,279.0,441.0,-162,40.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Bargou,535.0,529.0,6,37.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Bouarada,395.0,379.0,16,33.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Lâroussa,384.0,425.0,-41,44.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Gaafour,372.0,448.0,-76,46.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,El Krib,544.0,550.0,-6,46.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Bourouis,367.5,479.0,- 111.5,35.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Makthar,311.0,485.0,-174,48.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Kesra,448.0,439.0,9,47.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,Rouhia,194.5,347.0,- 152.5,33.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Siliana Nord,286.0,416.0,-          130,43.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Siliana Sud,266.0,441.0,-          175,37.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Bargou,404.0,529.0,-          125,47.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Bouarada,314.0,379.0,-          65,35.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Lâroussa,295.0,425.0,-          130,41.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Gaafour,298.0,448.0,-          150,45.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,El Krib,363.0,550.0,-          187,43.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Bourouis,329.0,479.0,-          150,46.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Makthar,279.0,485.0,-          205,41.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Kesra,404.0,439.0,-          35,42.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2023.0,Rouhia,236.0,347.0,-          111,28.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Siliana Nord,230.0,416.0,-          186,43.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Siliana Sud,219.0,441.0,-          222,39.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Bargou,420.0,529.0,-          109,48.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Bouarada,281.0,379.0,-          98,41.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Lâroussa,287.0,425.0,-          138,34.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Gaafour,229.0,448.0,-          219,43.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,El Krib,371.0,550.0,-          179,44.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Bourouis,346.0,479.0,-          133,43.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Makthar,340.0,485.0,-          145,45.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Kesra,399.0,439.0,-          40,44.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2024.0,Rouhia,152.0,347.0,-          195,37.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Siliana Nord,الإدارة الفنية,416.0,1966-2020,54.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Siliana Sud,الرصد الجوي ,441.0,1990-2020,30.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Bouarada,إدارة الغابات ,379.0,1976-2020,44.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Gaafour,إدارة  الفلاحة,448.0,1991-2020,29.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Lâroussa,إدارة الفلاحة,425.0,1994-2020,26.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,El Krib,المعتمدية,550.0,1968-2020,52.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Bourouis,تعاضدية كوسام,479.0,1967-2020,53.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Makthar,الرصد الجوي,485.0,1961-2020,59.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Bargou,إدارة الغابات,529.0,1962-2020,58.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Kesra,كسرى B9,439.0,1970-2020,50.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Rouhia,إدارة الفلاحة,347.0,1992-2020,28.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2020.0,,,,,,Moyenne du Gouvernorat,,449.0,1961-2020,44.0,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Siliana Nord,الإدارة الفنية,417.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Siliana Sud,مركز التجارب الرملية,442.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Bouarada,بوعرادة  - د. م . م,378.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Gaafour,قعفور - المعتمدية,448.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Lâroussa,عروسة - الفلاحة,425.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,El Krib,تعاضدية - COSEM,551.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Bourouis,بورويس - SM,481.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Makthar,مكثر - الغابات,485.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Bargou,برقو - الغابات,530.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Kesra,كسري - B9,439.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2021.0,,,,,,Rouhia,الروحية - الفلاحة,347.0,,,,,,,,
,,,,,,,,,,,,,,,,,,donnees-climatiques-gouvernorat-de-siliana,2022.0,,,,,,Siliana Nord,الإدارة الفنية,417.0,,,,,,,,
